delayWeeks,completionPace,averageScore,loginFrequency,gapDepth,recencyRatio,weakSkillRatio,avgFocusScore,hasAttentionData,caughtUp,examGrade
5.379,4.262,66.973,2.447,0.527,0.273,0.625,0,0,1,11
10.585,3.729,30.7,2.762,0.501,0.687,0.611,0.384,1,0,8.5
7.108,0.158,26.696,0.865,0.186,0.784,0.53,2.712,1,0,8
9.708,1.597,44.99,0.524,0.051,0.557,0.597,0,0,0,9.25
3.644,3.693,85.871,7.112,0.204,0.284,0.293,7.469,1,1,13.5
11.134,0.44,94.374,6.036,0.942,0.137,0.111,0,0,0,10.75
7.343,4.498,7.758,10.074,0.935,0.278,0.707,0,0,0,6
1.447,4.978,56.28,12.826,0.434,0.578,0.337,0,0,1,12.5
3.543,2.249,84.313,9.731,0.994,0.89,0.432,0,0,1,13.25
8.361,1.567,78.594,12.667,0.094,0.475,0.822,12.998,1,1,10
8.396,1.116,41.286,2.288,0.655,0.336,0.207,0,0,0,9.25
9.509,1.965,13.139,12.092,0.37,0.01,0.737,63.526,1,0,7
7.247,2.446,18.402,0.665,0.706,0.708,0.291,27.548,1,0,5.5
11.922,2.862,98.856,2.294,0.171,0.561,0.293,39.466,1,1,13.25
4.782,1.681,89.564,4.582,0.495,0.611,0.546,0,0,1,12.25
3.585,1.603,66.93,3.092,0.169,0.695,0.314,12.491,1,0,9.75
2.492,2.408,37.993,9.969,0.913,0.812,0.439,0,0,0,11.5
10.085,4.473,45.01,2.052,0.619,0.808,0.208,0,0,1,10.75
5.904,4.297,84.319,10.411,0.054,0.069,0.169,0,0,1,14.25
11.897,4.08,63.161,11.718,0.853,0.599,0.351,0,0,1,12.5
4.191,4.688,62.594,4.611,0.845,0.152,0.366,0,0,0,9.5
8.716,4.78,87.946,6.527,0.707,0.145,0.273,0,0,0,11.25
5.292,2.844,71.637,11.11,0.785,0.196,0.666,51.78,1,0,11
5.101,1.66,30.76,2.067,0.505,0.267,0.531,0,0,0,7.75
1.618,0.019,14.818,13.205,0.069,0.871,0.43,0,0,1,7
0.681,1.853,22.971,9.839,0.564,0.095,0.966,0,0,0,7.25
6.586,4.024,52.705,2.476,0.078,0.096,0.06,0,0,0,11.25
6.732,4.883,2.213,5.555,0.338,0.284,0.833,0,0,0,4.75
11.425,1.331,51.836,12.04,0.935,0.685,0.569,0,0,1,8.5
9.003,2.749,68.728,7.76,0.546,0.967,0.984,0,0,1,11
8.015,4.323,38.685,12.291,0.317,0.88,0.413,0,0,1,11.25
7.414,4.339,69.152,2.112,0.287,0.961,0.487,0,0,1,13.75
8.86,3.574,18.589,11.854,0.903,0.545,0.471,0,0,0,7.5
8.103,2.106,44.278,8.622,0.717,0.518,0.043,0,0,0,8.25
4.504,4.141,83.786,9.567,0.085,0.033,0.27,70.002,1,1,14.75
10.907,4.441,34.508,1.397,0.627,0.24,0.48,0,0,0,6.75
6.229,2.441,59.193,1.527,0.782,0.689,0.919,0,0,0,8.5
4.086,1.201,22.993,13.865,0.581,0.84,0.342,64.914,1,0,10
4.511,1.022,78.548,7.071,0.138,0.082,0.773,0,0,0,12.25
5.922,4.758,17.542,2.037,0.552,0.675,0.207,0,0,1,7.75
7.919,3.014,55.543,2.875,0.922,0.522,0.745,4.985,1,1,9
0.565,1.631,71.195,10.654,0.251,0.863,0.456,18.265,1,1,12.75
10.23,0.437,13.635,13.93,0.212,0.472,0.509,61.963,1,0,7.25
11.748,4.146,34.63,2.868,0.518,0.762,0.446,48.518,1,0,9
10.34,1.818,42.603,3.522,0.504,0.041,0.666,6.476,1,0,7.25
9.721,0.269,58.667,7.685,0.482,0.512,0.475,0,0,0,9.75
8.499,0.019,69.11,2.565,0.369,0.726,0.931,27.902,1,0,11.25
0.547,2.837,49.492,6.188,0.468,0.754,0.121,0,0,1,12.5
9.997,2.396,0.826,12.747,0.062,0.516,0.487,0,0,0,6.25
10.223,3.321,98.422,13.713,0.967,0.812,0.957,0,0,1,12.5
11.915,0.174,49.115,12.24,0.679,0.776,0.328,84.059,1,0,11.5
3.006,0.781,37.446,10.145,0.05,0.138,0.239,0,0,1,8.25
11.694,2.048,79.255,10.353,0.016,0.684,0.875,0,0,0,12.25
5.603,1.907,84.195,8.836,0.315,0.465,0.529,0,0,1,11.75
0.895,3.22,79.546,6.073,0.596,0.835,0.392,0,0,1,13.25
2.175,3.397,70.824,7.935,0.547,0.63,0.896,0,0,1,10.75
1.147,4.548,0.007,0.485,0.524,0.057,0.745,63.403,1,0,5.75
4.148,0.991,74.26,9.137,0.05,0.626,0.59,0,0,1,12.75
7.058,2.056,59.039,2.724,0.135,0.707,0.733,0,0,0,12.25
5.172,2.982,33.822,9.327,0.979,0.891,0.693,0,0,0,10.75
11.01,1.166,15.075,4.478,0.983,0.506,0.976,0,0,0,5
11.865,1.253,96.317,3.134,0.946,0.306,0.512,0,0,0,10.5
11.331,3.135,31.589,7.148,0.365,0.446,0.176,57.032,1,1,9.25
10.663,2.937,85.419,6.213,0.631,0.455,0.588,0,0,1,12.5
2.077,0.027,71.007,5.35,0.327,0.019,0.125,0,0,1,10
5.514,3.499,13.659,9.917,0.215,0.279,0.621,34.02,1,0,7.25
9.791,0.422,19.941,4.84,0.885,0.858,0.953,0,0,0,4.75
7.345,3.76,94.033,5.674,0.376,0.162,0.902,0,0,1,11.5
10.289,0.475,53.451,7.318,0.598,0.976,0.526,67.506,1,1,11.75
1.056,1.126,92.012,5.432,0.703,0.536,0.441,0,0,1,13.25
7.739,4.358,88.128,3.337,0.59,0.492,0.517,72.884,1,1,13.25
2.66,2.145,4.232,2.164,0.048,0.121,0.339,0,0,0,6
4.549,4.985,72.594,6.14,0.349,0.749,0.292,0,0,1,13.25
10.133,1.889,11.795,13.276,0.044,0.752,0.575,6.544,1,0,7.75
10.113,1.098,97.205,6.314,0.417,0.021,0.395,5.248,1,0,11
0.197,4.812,76.564,3.216,0.124,0.19,0.689,0,0,1,14.75
10.648,1.23,70.643,7.127,0.823,0.211,0.002,0,0,1,11.75
